no,added_date,title,artist,genre,country,release_year,chart_source,chart_rank,source_type,data_confidence
71,2026.6.27,Saving All My Love For You,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1985,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
72,2026.6.27,Vision Of Love,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1990,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
73,2026.6.27,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,Pop Ballad / Soft Pop,US/Global,1995,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
74,2026.6.27,Come On Over Baby (All I Want Is You),Christina Aguilera,Pop Ballad / Soft Pop,US/Global,2000,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
75,2026.6.27,Fortnight,Taylor Swift Featuring Post Malone,Pop Ballad / Soft Pop,US/Global,2024,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
76,2026.6.27,Scars To Your Beautiful,Alessia Cara,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
77,2026.6.27,Greatest Love Of All,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1986,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
78,2026.6.27,My Heart Will Go On,Celine Dion,Pop Ballad / Soft Pop,US/Global,1998,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
79,2026.6.27,Heartbreaker,Mariah Carey Featuring Jay-Z,Pop Ballad / Soft Pop,US/Global,1999,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
80,2026.6.27,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,Pop Ballad / Soft Pop,US/Global,1999,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
81,2026.6.27,Be With You,Enrique Iglesias,Pop Ballad / Soft Pop,US/Global,2000,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
82,2026.6.27,Look What You Made Me Do,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2017,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
83,2026.6.27,Rain On Me,Lady Gaga & Ariana Grande,Pop Ballad / Soft Pop,US/Global,2020,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
84,2026.6.27,I'm Your Baby Tonight,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1990,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
85,2026.6.27,I Don't Wanna Cry,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1991,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
86,2026.6.27,Where Do Broken Hearts Go,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1988,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
87,2026.6.27,I'm Your Angel,R. Kelly & Celine Dion,Pop Ballad / Soft Pop,US/Global,1998,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
88,2026.6.27,Love Song,Sara Bareilles,Pop Ballad / Soft Pop,US/Global,2007,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
89,2026.6.27,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Pop Ballad / Soft Pop,US/Global,2015,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
90,2026.6.27,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,Pop Ballad / Soft Pop,US/Global,1978,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
91,2026.6.27,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,Pop Ballad / Soft Pop,US/Global,1987,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
92,2026.6.27,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,Pop Ballad / Soft Pop,US/Global,1979,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
93,2026.6.27,I Knew You Were Trouble.,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2012,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
94,2026.6.27,Love Me Like You Do,Ellie Goulding,Pop Ballad / Soft Pop,US/Global,2015,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
95,2026.6.27,Let Me Love You,DJ Snake Featuring Justin Bieber,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
96,2026.6.27,I Believe,Fantasia,Pop Ballad / Soft Pop,US/Global,2004,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
97,2026.6.27,Stay,Rihanna Featuring Mikky Ekko,Pop Ballad / Soft Pop,US/Global,2013,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
98,2026.6.27,This Is What You Came For,Calvin Harris Featuring Rihanna,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
99,2026.6.27,I Can Do It With A Broken Heart,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2024,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
100,2026.6.27,Love On The Brain,Rihanna,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
101,2026.6.27,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,Pop Ballad / Soft Pop,US/Global,2011,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
102,2026.6.27,Stay,Zedd & Alessia Cara,Pop Ballad / Soft Pop,US/Global,2017,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
103,2026.6.27,It Will Rain,Bruno Mars,Pop Ballad / Soft Pop,US/Global,2011,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
104,2026.6.27,My Love Is Your Love,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1999,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
105,2026.6.27,Wildest Dreams,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2014,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
106,2026.6.27,As Long As You Love Me,Justin Bieber Featuring Big Sean,Pop Ballad / Soft Pop,US/Global,2012,Billboard Hot 100 archive,6,billboard_hot100_bulk_backfill,low
107,2026.6.27,Die For You,The Weeknd,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,6,billboard_hot100_bulk_backfill,low
108,2026.6.27,Do You Know (What It Takes),Robyn,Pop Ballad / Soft Pop,US/Global,1997,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
109,2026.6.27,Send My Love (To Your New Lover),Adele,Pop Ballad / Soft Pop,US/Global,2015,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
110,2026.6.27,Sweet Dreams,Beyonce,Pop Ballad / Soft Pop,US/Global,2009,Billboard Hot 100 archive,10,billboard_hot100_bulk_backfill,low
111,2026.6.27,See You Again,Miley Cyrus,Pop Ballad / Soft Pop,US/Global,2007,Billboard Hot 100 archive,10,billboard_hot100_bulk_backfill,low
112,2026.6.27,I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,Pop Ballad / Soft Pop,US/Global,2003,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
113,2026.6.27,Late Night Talking,Harry Styles,Pop Ballad / Soft Pop,US/Global,2022,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
114,2026.6.27,Say Something,A Great Big World & Christina Aguilera,Pop Ballad / Soft Pop,US/Global,2013,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
115,2026.6.27,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,Pop Ballad / Soft Pop,US/Global,2010,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
116,2026.6.27,Where Does My Heart Beat Now,Celine Dion,Pop Ballad / Soft Pop,US/Global,1990,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
117,2026.6.27,Too Good At Goodbyes,Sam Smith,Pop Ballad / Soft Pop,US/Global,2017,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
118,2026.6.27,Where Have You Been,Rihanna,Pop Ballad / Soft Pop,US/Global,2011,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
119,2026.6.27,Hate That I Love You,Rihanna Featuring Ne-Yo,Pop Ballad / Soft Pop,US/Global,2007,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
120,2026.6.27,Show Me Love,Robyn,Pop Ballad / Soft Pop,US/Global,1997,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
121,2026.6.27,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
122,2026.6.27,You Need To Calm Down,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2019,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
123,2026.6.27,Without You/Never Forget You,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1994,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
124,2026.6.27,I Turn To You,Christina Aguilera,Pop Ballad / Soft Pop,US/Global,2000,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
125,2026.6.27,You Give Good Love,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1985,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
126,2026.6.27,If You Asked Me To,Celine Dion,Pop Ballad / Soft Pop,US/Global,1992,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
127,2026.6.27,LoveGame,Lady Gaga,Pop Ballad / Soft Pop,US/Global,2009,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
128,2026.6.27,To All The Girls I've Loved Before,Julio Iglesias And Willie Nelson,Pop Ballad / Soft Pop,US/Global,1984,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
129,2026.6.27,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,Pop Ballad / Soft Pop,US/Global,2013,Billboard Hot 100 archive,6,billboard_hot100_bulk_backfill,low
130,2026.6.27,Love Me Harder,Ariana Grande & The Weeknd,Pop Ballad / Soft Pop,US/Global,2014,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
131,2026.6.27,Say You Won't Let Go,James Arthur,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,11,billboard_hot100_bulk_backfill,low
132,2026.6.27,"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael,Pop Ballad / Soft Pop,US/Global,1987,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
133,2026.6.27,Endless Love,Luther Vandross & Mariah Carey,Pop Ballad / Soft Pop,US/Global,1994,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
134,2026.6.27,Drunk In Love,Beyonce Featuring Jay Z,Pop Ballad / Soft Pop,US/Global,2014,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
135,2026.6.27,You Don't Know My Name,Alicia Keys,Pop Ballad / Soft Pop,US/Global,2003,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
136,2026.6.27,Tears,Sabrina Carpenter,Pop Ballad / Soft Pop,US/Global,2025,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
137,2026.6.27,Beautiful Liar,Beyonce & Shakira,Pop Ballad / Soft Pop,US/Global,2007,Billboard Hot 100 archive,3,billboard_hot100_bulk_backfill,low
138,2026.6.27,"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,Pop Ballad / Soft Pop,US/Global,1996,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
139,2026.6.27,I Still Believe,Mariah Carey,Pop Ballad / Soft Pop,US/Global,1999,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
140,2026.6.27,You And I,Lady Gaga,Pop Ballad / Soft Pop,US/Global,2011,Billboard Hot 100 archive,6,billboard_hot100_bulk_backfill,low
141,2026.6.27,Begin Again,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2012,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
142,2026.6.27,"Count On Me (From ""Waiting To Exhale"")",Whitney Houston & CeCe Winans,Pop Ballad / Soft Pop,US/Global,1996,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
143,2026.6.27,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,Pop Ballad / Soft Pop,US/Global,1996,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
144,2026.6.27,Skyfall,Adele,Pop Ballad / Soft Pop,US/Global,2012,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
145,2026.6.27,Fastlove,George Michael,Pop Ballad / Soft Pop,US/Global,1996,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
146,2026.6.27,Never Say Never,Justin Bieber Featuring Jaden Smith,Pop Ballad / Soft Pop,US/Global,2010,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
147,2026.6.27,Miss Independent,Kelly Clarkson,Pop Ballad / Soft Pop,US/Global,2003,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
148,2026.6.27,Die With A Smile,Lady Gaga & Bruno Mars,Pop Ballad / Soft Pop,US/Global,2024,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
149,2026.6.27,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Lyrical Pop,US/Global,1987,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
150,2026.6.27,My Heart Belongs To Me,Barbra Streisand,Pop Ballad / Soft Pop,US/Global,1977,Billboard Hot 100 archive,4,billboard_hot100_bulk_backfill,low
151,2026.6.27,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",Pop Ballad / Soft Pop,US/Global,2018,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
152,2026.6.27,Never Again,Kelly Clarkson,Pop Ballad / Soft Pop,US/Global,2007,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
153,2026.6.27,Love Will Save The Day,Whitney Houston,Pop Ballad / Soft Pop,US/Global,1988,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
154,2026.6.27,All Of Me,John Legend,Pop Ballad / Soft Pop,US/Global,2013,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
155,2026.6.27,Dark Horse,Katy Perry Featuring Juicy J,Pop Ballad / Soft Pop,US/Global,2013,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
156,2026.6.27,Loverboy,Mariah Carey Featuring Cameo,Pop Ballad / Soft Pop,US/Global,2001,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
157,2026.6.27,Don't Cry,Asia,Pop Ballad / Soft Pop,US/Global,1983,Billboard Hot 100 archive,10,billboard_hot100_bulk_backfill,low
158,2026.6.27,You Right,Doja Cat & The Weeknd,Pop Ballad / Soft Pop,US/Global,2021,Billboard Hot 100 archive,11,billboard_hot100_bulk_backfill,low
159,2026.6.27,Stupid Love,Lady Gaga,Pop Ballad / Soft Pop,US/Global,2020,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
160,2026.6.27,Cheap Thrills,Sia Featuring Sean Paul,Pop Ballad / Soft Pop,US/Global,2016,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
161,2026.6.27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Pop Ballad / Soft Pop,US/Global,2017,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
162,2026.6.27,Midnight Rain,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2022,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
163,2026.6.27,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,Pop Ballad / Soft Pop,US/Global,2023,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
164,2026.6.27,But Daddy I Love Him,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2024,Billboard Hot 100 archive,7,billboard_hot100_bulk_backfill,low
165,2026.6.27,"You're On Your Own, Kid",Taylor Swift,Pop Ballad / Soft Pop,US/Global,2022,Billboard Hot 100 archive,8,billboard_hot100_bulk_backfill,low
166,2026.6.27,Your Power,Billie Eilish,Pop Ballad / Soft Pop,US/Global,2021,Billboard Hot 100 archive,10,billboard_hot100_bulk_backfill,low
167,2026.6.27,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Pop Ballad / Soft Pop,US/Global,2011,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
168,2026.6.27,Heartbreak Hotel,Whitney Houston Feat. Faith Evans & Kelly Price,Lyrical Pop,US/Global,1998,Billboard Hot 100 archive,2,billboard_hot100_bulk_backfill,low
169,2026.6.27,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,Pop Ballad / Soft Pop,US/Global,2023,Billboard Hot 100 archive,5,billboard_hot100_bulk_backfill,low
170,2026.6.27,Young Metro,"Future, Metro Boomin & The Weeknd",Pop Ballad / Soft Pop,US/Global,2024,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
171,2026.6.27,Jump Then Fall,Taylor Swift,Pop Ballad / Soft Pop,US/Global,2009,Billboard Hot 100 archive,10,billboard_hot100_bulk_backfill,low
172,2026.6.27,We Belong Together,Mariah Carey,Pop Ballad / Soft Pop,US/Global,2005,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
173,2026.6.27,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Pop Ballad / Soft Pop,US/Global,2021,Billboard Hot 100 archive,1,billboard_hot100_bulk_backfill,low
